"","model","dgp_spec","sample","SV","cross_corr","validation_MAE","validation_MSE","validation_RMSE","validation_RSquare","test_MAE","test_MSE","test_RMSE","test_RSquare"
"515","NN5_MSE","g1",3,1,0.1,0.0409597184423276,0.00362276396993773,0.0552942288307489,-0.00241274547543522,0.0431925702044131,0.00346381059003514,0.0561594700547513,-0.00150709050596058
"516","NN5_MSE","g1",3,1,1,0.0411782454467519,0.00364047169846516,0.055551650359647,-0.00135272027287248,0.0434215191071516,0.00347477202296449,0.0562829598297665,0.00236477974067428
"517","NN5_MSE","g2",1,0,0,0.0567375842729163,0.00540317393220024,0.0734820769410276,-0.00926681392613382,0.0536207286341787,0.00485664154074376,0.069572028042669,-0.00623289000720129
"518","NN5_MSE","g2",1,1,0.01,0.0473280737130295,0.00471483328179689,0.0640258814781484,-0.00812104214636198,0.0288751257300839,0.00179481602438676,0.037035064235951,-0.0425322889841597
"519","NN5_MSE","g2",1,1,0.1,0.0476720646261005,0.00472683175400615,0.0642926371357571,-0.0239646526127585,0.0293748961163419,0.00183412072092016,0.0375971048324938,-0.0818850185379286
"520","NN5_MSE","g2",1,1,1,0.0469941097942026,0.0046624465287607,0.063666344779734,-0.00108204265400853,0.0286986690279714,0.00178721282571575,0.0368344010168674,-0.00594230493083572
"521","NN5_MSE","g2",2,0,0,0.0569696687363865,0.00543948846960314,0.073738357739868,-0.0261663396841176,0.0551264768065149,0.00504933355686383,0.0708003172324352,-0.0232481144357713
"522","NN5_MSE","g2",2,1,0.01,0.0418922825421912,0.00379769991132343,0.0564696605914769,-0.00202015281808934,0.0386702549507463,0.00300726848196705,0.0494395660145564,-0.00528968365757834
"523","NN5_MSE","g2",2,1,0.1,0.0421814740121084,0.00380541814613483,0.0567976828771593,-0.0369678326010986,0.0388690112637786,0.00299447531549092,0.0495624641114685,-0.0326430971931415
"524","NN5_MSE","g2",2,1,1,0.0418549646284611,0.00378523377370272,0.0564154319778033,-0.00299117321610347,0.0386398816101453,0.00298951572493633,0.0493209848719769,-0.0027392191288544
"525","NN5_MSE","g2",3,0,0,0.055743117554122,0.00523807780317273,0.0723331767473402,-0.00431995784803987,0.0546261485537068,0.00499227244157041,0.0706010529193315,-0.00314531760735401
"526","NN5_MSE","g2",3,1,0.01,0.0407885116618597,0.00359641053194094,0.0550711925709685,-0.0101828999572359,0.0432474240047969,0.0034401819397825,0.0560011965455712,-0.00318303152810928
"527","NN5_MSE","g2",3,1,0.1,0.0407925855187035,0.00360489661157963,0.055018810936063,-0.00432914896993926,0.0432836316334636,0.00345815709619072,0.0560515144192703,-0.00378056722728441
"528","NN5_MSE","g2",3,1,1,0.0410437536276455,0.00361413949790789,0.0553083904848192,-0.0276269017919543,0.0434446588005613,0.00348896807158614,0.0563523384516189,-0.0074470045460981
"529","NN5_MSE","g3",1,0,0,0.0567500216973953,0.00545550301580739,0.073820293753183,-0.00272506288319763,0.0563398955784701,0.00527598739835929,0.0725486735402129,-0.00145204545774518
"530","NN5_MSE","g3",1,1,0.01,0.0473851386646692,0.00472640343873548,0.064150669339853,-0.00862269549797938,0.0289492438214717,0.00180405178288811,0.0371839000056075,-0.0489528498025964
"531","NN5_MSE","g3",1,1,0.1,0.0471698366120017,0.00468827096029071,0.0638771789289906,-0.00337239807920517,0.0284523174141172,0.00178495755707377,0.0366683916516863,-0.00711738735454057
